,time, signalLevel, blinkStrength, attention, meditation, lowGamma, highGamma, highAlpha, delta, highBeta, lowAlpha, lowBeta, theta,Valence,Arousal,Dominance
78,69.77379727363586,0,0,63,56,3111,3335,7120,5964,9273,13106,12716,10807,4,5,2
79,69.77482652664185,0,0,80,53,3770,2023,6448,4262,7966,2929,9594,10249,4,5,2
80,70.77200245857239,0,0,69,54,3978,2951,16189,8134,11314,13202,10640,38703,4,5,2
81,71.77235150337219,0,0,69,54,3544,1940,11369,11737,8049,6659,13230,9165,4,5,2
82,72.7716076374054,0,0,69,61,2117,2304,5869,1543,9321,20390,8534,7931,4,5,2
83,73.76859617233276,0,0,70,61,5185,4542,4731,4476,5379,2689,11895,2885,4,5,2
84,74.51947665214539,0,36,70,61,5185,4542,4731,4476,5379,2689,11895,2885,4,5,2
85,74.77235102653503,0,0,78,70,2171,2943,33558,195152,18962,13027,6217,13688,4,5,2
86,75.77134490013123,0,0,67,70,6681,6226,6759,40794,16268,65587,16212,74733,4,5,2
87,76.7741494178772,0,0,64,57,3161,4878,11195,60125,12410,9191,16578,41255,4,5,2
88,77.74728226661682,0,0,69,60,4832,1610,18906,14572,23055,1583,15249,8682,4,5,2
89,78.78026795387268,0,0,60,43,3618,1302,6968,8506,4979,1980,7678,23886,4,5,2
90,79.74879860877991,0,0,60,43,3618,1302,6968,8506,4979,1980,7678,23886,4,5,2
91,79.74879860877991,0,0,60,43,3618,1302,6968,8506,4979,1980,7678,23886,4,5,2
92,80.7748806476593,0,0,74,34,2971,2236,6732,12137,4590,9960,21640,21162,4,5,2
93,83.74865341186523,0,0,47,53,3725,3216,7163,968,8136,15172,14228,7666,4,5,2
94,84.7732982635498,0,0,41,56,3294,2268,16844,22303,3352,4816,4073,31131,4,5,2
95,85.77516627311707,0,0,34,47,680,1108,2380,42489,2644,3164,1347,25352,4,5,2
96,86.77484178543091,0,0,37,60,2523,2842,14080,4645,6756,28382,13113,10749,4,5,2
97,87.77209901809692,0,0,35,51,1898,1698,2378,17561,5163,8530,13458,13528,4,5,2
98,88.78657174110413,0,0,53,51,2233,1474,8080,7059,11457,9424,14793,7927,4,5,2
99,89.75210404396057,0,0,53,51,2233,1474,8080,7059,11457,9424,14793,7927,4,5,2
100,89.75210404396057,0,0,53,51,2233,1474,8080,7059,11457,9424,14793,7927,4,5,2
101,89.75210404396057,0,0,69,61,2778,2066,6219,856,7051,4291,6999,7186,4,5,2
102,90.78560733795166,0,0,80,57,6370,2199,23509,13731,16728,11333,11986,9535,4,5,2
103,91.757337808609,0,0,84,66,2403,3660,11929,1813,11489,9351,8103,8582,4,5,2
128,113.77187490463255,0,0,63,44,4449,2656,7253,4325,7665,5712,13066,12223,1,4,3
129,114.36309123039246,0,36,63,44,4449,2656,7253,4325,7665,5712,13066,12223,1,4,3
130,114.77231454849245,0,0,51,53,2032,604,2837,100363,2212,8335,2030,11592,1,4,3
131,115.77168011665344,0,0,47,61,4831,4577,27310,15560,8653,10851,15931,16455,1,4,3
132,116.77256655693054,0,0,51,53,6165,2926,3103,7403,5165,8763,26835,14999,1,4,3
133,117.77209663391112,0,0,57,57,1993,6720,5551,13574,13162,9893,7477,7386,1,4,3
134,118.7756359577179,0,0,74,57,5555,5331,10022,14468,16172,20237,29146,3380,1,4,3
135,119.73939561843872,0,0,74,57,5555,5331,10022,14468,16172,20237,29146,3380,1,4,3
136,119.74074411392212,0,0,74,57,5555,5331,10022,14468,16172,20237,29146,3380,1,4,3
137,119.77174520492554,0,0,87,50,6804,5289,5946,2240,11520,5414,12263,5841,1,4,3
138,120.7777795791626,0,0,90,57,8154,6755,11741,2995,9038,12379,20882,10652,1,4,3
139,121.7506937980652,0,0,91,53,5654,6430,5576,12967,10981,5579,16505,4942,1,4,3
140,122.7499463558197,0,0,96,50,13407,9465,5189,9935,30573,19892,11403,14492,1,4,3
141,123.78048992156982,0,0,87,47,6893,6045,8110,2735,6843,3765,14392,17811,1,4,3
142,124.77522611618042,0,0,88,50,5507,7531,18135,1819,13386,15007,13003,15619,1,4,3
143,125.77470278739928,0,0,84,63,6462,6221,2535,5232,13897,23136,6346,4035,1,4,3
144,126.77700543403624,0,0,66,74,11901,6885,17385,12882,10187,35049,26312,9247,1,4,3
145,128.78069400787354,0,0,75,74,5865,9566,4285,5867,8112,12737,8686,9972,1,4,3
146,129.74855613708496,0,0,75,74,5865,9566,4285,5867,8112,12737,8686,9972,1,4,3
147,129.74855613708496,0,0,75,74,5865,9566,4285,5867,8112,12737,8686,9972,1,4,3
148,130.75267577171326,0,0,69,60,2524,3045,2233,5925,4201,5973,1934,10168,1,4,3
149,131.74971318244934,0,0,44,63,1550,1702,6402,74570,1234,2010,1470,16190,1,4,3
150,133.77889490127563,0,0,48,35,8719,10479,3530,14043,19359,10797,13092,12052,1,4,3
151,136.75055837631226,0,0,90,57,4661,6978,15040,7520,21448,7868,36873,4481,1,4,3
152,137.74885392189026,0,0,90,63,3294,3690,3386,15544,8594,5583,6935,3373,1,4,3
153,139.75102853775024,0,0,90,63,3294,3690,3386,15544,8594,5583,6935,3373,1,4,3
154,139.7515308856964,0,0,90,63,3294,3690,3386,15544,8594,5583,6935,3373,1,4,3
155,139.7515308856964,0,0,50,29,541,816,2094,75395,2610,3678,1508,83752,1,4,3
156,140.75128436088562,0,0,47,27,3856,2868,4709,14382,9739,5306,15520,6803,1,4,3
157,141.77711963653564,0,0,37,29,6147,5098,22982,16673,13412,11436,35405,17976,1,4,3
158,142.75336480140686,0,0,54,21,5933,2738,4179,15775,13438,7446,7638,23465,1,4,3
159,143.78766441345215,0,0,74,43,5061,3578,8468,12237,7805,7944,10489,20491,1,4,3
174,156.756098985672,0,0,43,43,7860,8761,9965,14030,12190,15048,6977,5494,5,2,3
175,157.75893187522888,0,0,48,48,6529,5356,20626,474194,8011,11659,19426,24896,5,2,3
176,158.75854182243347,0,0,69,63,8755,6426,24957,2828,14022,1450,14584,18239,5,2,3
177,159.7522575855255,0,0,69,63,8755,6426,24957,2828,14022,1450,14584,18239,5,2,3
178,159.7522575855255,0,0,69,63,8755,6426,24957,2828,14022,1450,14584,18239,5,2,3
